皐,臯
譱,善
倦,劵
嶌,島
嶌,嶋
籘,籐
餝,飾
雄,䧺
厷,肱
霊,䨩
霊,霛
霊,㚑
霊,灵
旆,斾
拇,胟
餞,䬻
癒,瘉
両,两
罎,壜
麕,麏
幤,幣
稾,稿
楕,㯐
曹,曺
膝,厀
男,侽
覩,睹
鬮,䰗
鬮,䦰
曼,㬅
時,时
時,旹
町,甼
粳,稉
粳,秔
刀,釖
刃,刄
薗,園
疆,疅
並,傡
弌,一
楙,枆
浣,澣
貭,質
紆,䊸
藤,䕨
椁,槨
槹,橰
繿,襤
舩,船
飃,飄
冨,富
回,囘
喜,歖
喜,㐂
怪,恠
旌,旍
刄,刃
畀,畁
話,䛡
準,凖
訛,譌
迥,逈
迥,䢛
襤,繿
塲,場
晃,晄
晃,兤
罐,鑵
麗,䴡
邨,村
檣,檣
杤,栃
画,畵
權,权
繁,䋣
来,徕
蹙,䠞
稿,稾
甼,町
誼,竩
翻,飜
額,頟
艹,艹
艹,艹
霏,䬠
羣,群
轟,軣
雇,僱
衂,衄
衂,䘐
學,斈
龍,龒
雉,鴙
咒,呪
衄,衂
衄,䘐
飄,飃
晄,晃
晄,兤
冩,写
冩,寫
銛,銽
刈,苅
潛,濳
黛,黱
迩,邇
胎,孡
蛎,蠇
銜,啣
銜,㘅
銜,衘
癘,疠
冪,羃
賢,贒
嘗,甞
剱,剣
剱,劍
剱,劔
剱,劒
剱,釼
剱,釰
慂,惥
惰,憜
貮,弐
貮,貳
鑵,缶
鑵,罐
儁,俊
梱,棞
齊,斊
齊,亝
秣,䬴
階,堦
畄,留
畄,畱
畄,㽞
垂,埀
鬱,欝
畆,畝
畆,畮
群,羣
帋,紙
竜,龒
富,冨
雋,隽
籠,篭
潜,濳
舮,艫
諂,讇
雌,䳄
溜,澑
疉,畳
疉,疊
疉,疂
疉,叠
疉,曡
从,従
从,從
猪,豬
徳,悳
迫,廹
佞,侫
最,冣
最,㝡
崎,嵜
窓,窗
窓,窻
窓,䆫
窓,牕
窓,牎
纃,緕
匳,奩
匳,籢
匳,匲
乕,虎
乕,虝
尅,剋
眄,䀎
竝,傡
畊,耕
桑,桒
舵,柁
虎,乕
虎,虝
飆,飇
飆,飈
疊,疂
疊,疉
疊,叠
疊,曡
杯,盃
杯,㮎
莢,荚
迯,逃
逹,達
篋,匧
暴,㬥
冰,氷
雍,雝
久,镹
久,乆
館,舘
皰,䶌
驥,蘎
之,㞢
攴,攵
攵,攴
慈,㤵
兹,茲
兹,茊
丄,上
丅,下
丒,丑
丣,酉
两,両
两,兩
乄,〆
乹,乾
乹,亁
亝,斉
亝,齊
亝,斊
亯,享
伷,胄
侌,陰
侌,阴
侌,阥
侌,隂
侎,敉
侽,男
俼,鬻
偀,英
傎,顛
傎,顚
傡,並
傡,竝
僱,雇
儨,質
儨,貭
兏,長
兏,镸
兤,晃
兤,晄
兦,亡
兦,亾
冣,最
冣,㝡
凮,風
凮,凬
凮,飌
剦,閹
勄,敏
勄,敏
勪,蹻
匘,脳
匘,腦
匛,柩
匧,篋
匲,匳
匲,奩
匲,籢
卋,世
卋,丗
卥,西
卭,邛
厸,隣
厸,鄰
叓,事
叓,亊
叓,㕝
叠,畳
叠,疊
叠,疂
叠,疉
叠,曡
呧,詆
响,響
响,響
囟,顖
囟,䪿
坵,丘
坵,㐀
堦,階
塟,葬
壄,野
壄,埜
壄,㙒
壐,璽
壐,玺
奙,畚
媿,愧
孯,掔
宆,穹
寗,甯
帀,迊
弎,三
弽,韘
徏,陟
忞,忟
忢,悟
怍,㤰
怗,㤐
恖,思
恡,悋
恱,悦
恱,悅
悑,怖
悱,㥱
惕,悐
惛,惽
惥,慂
惽,惛
愂,悖
愑,悀
愑,愹
愙,恪
愙,㤩
愙,愘
愜,㥦
愹,悀
愹,愑
慸,㦅
慼,慽
慿,憑
憁,愡
憗,憖
憘,憙
憜,惰
憝,憞
懕,㦔
懕,懨
懧,懦
戇,戅
戩,戬
抍,拯
拕,拖
拖,拕
拪,遷
拪,迁
拽,捙
捊,抙
捛,旅
捴,総
捴,總
捴,緫
捴,摠
捴,揔
捿,棲
掔,孯
揑,捏
揔,総
揔,總
揔,緫
揔,摠
揔,捴
摛,攡
摠,総
摠,總
摠,緫
摠,揔
摠,捴
撐,撑
撑,撐
撘,搭
撡,操
擎,㢣
擑,接
擕,携
擕,攜
擥,㩜
擪,擫
擵,摩
攈,攟
攊,擽
攖,撄
攟,攈
敉,侎
敽,敿
斁,歝
斅,敩
斊,斉
斊,齊
斊,亝
斝,斚
斲,斵
旈,旒
旹,時
旹,时
旾,萅
昉,昘
昒,㫚
昖,㫟
昞,昺
昦,昊
昬,昏
晠,晟
曻,昇
暒,晴
暜,普
暤,皡
暤,皞
暤,皥
暤,暭
暭,皡
暭,皞
暭,皥
暭,暤
曌,瞾
曬,晒
曺,曹
朙,明
朜,㬿
朢,望
枏,柟
枻,栧
枼,枽
枽,枼
柹,柿
柒,漆
柗,松
柗,枩
柗,枀
柗,梥
柗,㮤
柡,栐
桒,桑
栝,桰
栧,枻
栰,筏
桌,槕
桘,槌
桮,杯
桮,盃
桮,㮎
桰,栝
桺,柳
桺,栁
梄,槱
梥,松
梥,枩
梥,枀
梥,柗
梥,㮤
棅,柄
椉,乗
椉,乘
楤,樬
榘,矩
榦,槏
槈,耨
槑,梅
槑,梅
槑,楳
槖,橐
槗,橋
槱,梄
槳,㯍
槵,梙
樁,桩
樑,梁
橊,榴
橐,槖
橛,橜
橱,櫥
橱,櫉
檁,檩
檃,櫽
檆,杉
檇,槜
檇,㰎
檝,楫
檝,艥
檱,棋
檱,棊
櫉,橱
櫉,櫥
櫽,檃
歖,喜
歖,㐂
歝,斁
泴,盥
灔,灩
灔,灎
灎,灩
灎,灔
灵,霊
灵,靈
灵,䨩
灵,霛
灵,㚑
灶,竈
灶,竃
灶,䆴
爴,攫
牎,窓
牎,窗
牎,窻
牎,䆫
牎,牕
牕,窓
牕,窗
牕,窻
牕,䆫
牕,牎
犴,豻
犴,貋
猂,悍
珉,瑉
珌,㻫
珏,玨
珡,琴
珡,琹
琑,瑣
琹,琴
琹,珡
瓉,瓚
瓌,瑰
瓚,瓉
瓯,甌
甆,瓷
甖,罌
甖,甇
甯,寗
甽,畎
畎,甽
畒,畝
畒,畆
畒,畞
畒,㽗
畒,畮
畗,畣
畞,畝
畞,畆
畞,畒
畞,㽗
畞,畮
畱,留
畱,畄
畱,㽞
畺,疆
畺,壃
畺,疅
疅,疆
疅,畺
疅,壃
痎,㾬
癅,瘤
癕,癰
皁,皂
皢,暁
皢,曉
皥,皡
皥,皞
皥,暭
皥,暤
皨,曐
盁,盈
盋,鉢
盋,缽
盎,㼜
盙,簠
盙,㝬
眎,視
眎,視
眴,䀏
眽,眿
眾,衆
睂,眉
睤,睥
瞢,矒
瞯,瞷
瞾,曌
矒,瞢
矤,矧
磇,砒
磕,礚
礀,磵
礚,磕
礟,礮
礠,磁
礱,礲
祩,秼
禩,祀
秔,粳
秔,稉
秼,祩
稇,稛
稉,粳
稉,秔
稛,稇
稺,稚
稺,穉
穪,称
穪,稱
窑,窯
窑,窰
窻,窓
窻,窗
窻,䆫
窻,牕
窻,牎
竆,窮
竩,誼
竾,篪
竾,䶵
笔,筆
笟,箍
筇,笻
筭,算
箑,䈉
箬,篛
篙,㰏
篛,箬
篪,竾
篪,䶵
簠,盙
簠,㝬
簬,簵
簱,籏
籝,籯
籞,篽
籭,篩
籲,龥
粇,糠
糉,粽
糓,穀
糓,穀
糚,粧
糵,糱
紝,絍
紣,綷
紪,緀
絍,紝
絚,緪
絸,繭
絸,蠒
綂,統
綋,紘
綦,綨
綳,繃
綷,紣
緍,緡
縀,緞
緪,絚
緫,総
緫,總
緫,摠
緫,揔
緫,捴
縕,緼
縧,絛
繡,綉
纁,䙧
纊,絋
纝,縲
缽,鉢
缽,盋
羀,罶
羋,芈
羐,羑
羑,羐
羗,羌
羪,養
羪,养
羴,羶
翥,䬡
翺,翱
翺,翶
耇,耈
耈,耇
耊,耋
耼,聃
聀,職
聀,軄
聦,聡
聦,聰
肈,肇
肎,肻
肧,胚
肸,肹
肹,肸
胭,臙
胮,膖
脃,脆
脋,脅
脤,祳
腗,脾
腭,齶
膐,膂
膖,胮
臋,臀
臏,髕
舃,舄
舓,舐
舓,䑛
艣,艪
芲,花
茊,茲
茊,兹
荔,茘
茰,萸
荇,莕
荕,筋
莕,荇
莾,莽
菑,葘
菹,葅
萕,薺
葅,菹
葊,菴
葘,菑
葠,蓡
蒞,莅
蒨,蔳
蔐,荻
蔐,藡
蔥,葱
蔳,蒨
蔴,麻
蕐,華
蕐,华
蕑,蕳
蕯,薩
蕿,萱
蕿,萲
蕿,藼
蕿,蘐
薓,蔘
藟,蘽
藳,藁
藼,萱
藼,萲
藼,蕿
藼,蘐
蘍,薫
蘍,薰
蘎,驥
蘐,萱
蘐,萲
蘐,蕿
蘐,藼
蘒,蘒
蘽,藟
虀,韲
虀,齏
虀,䪡
虗,虚
虗,虛
虝,虎
虝,乕
虬,虯
虯,虬
虵,蛇
蚡,蚠
蚦,蚺
蛗,䘀
蛧,蝄
蜄,蜃
蜯,蚌
蝅,蚕
蝅,蠶
蝅,蠺
螙,蠹
螙,蠧
螿,螀
蟁,蚊
蟁,蚉
蟖,蟴
蟚,蟛
蟸,蠡
蠁,䖮
蠒,繭
蠒,絸
蠟,䗶
蠨,蟰
蠭,蜂
蠭,䗬
蠺,蚕
蠺,蠶
蠺,蝅
衘,銜
衘,啣
衘,㘅
衜,道
衜,衟
衟,道
衟,衜
衻,袡
裵,裴
褁,裹
褎,褏
褏,褎
襽,襴
覉,羇
覐,覚
覐,覺
覔,覓
覰,覻
覰,覷
覵,覸
覷,覻
覷,覰
觗,觶
觥,觵
觶,觗
觹,觿
觹,觽
觽,觿
觽,觹
觿,觹
觿,觽
訽,詬
訾,訿
詾,訩
誯,唱
謑,䜁
謊,詤
謭,譾
謷,謸
譾,謭
讁,謫
讕,譋
豓,艶
豓,艷
豓,豔
豔,艶
豔,艷
豔,豓
豣,豜
豣,猏
豭,猳
豻,貋
豻,犴
貋,豻
貋,犴
貒,猯
貓,猫
貛,䝔
賋,皎
賖,賒
賷,賫
贁,敗
贒,賢
贗,贋
贛,贑
赬,頳
赬,䞓
趂,趁
趑,趦
趑,䠖
趦,趑
趦,䠖
趻,踸
跬,䞨
踋,脚
踋,腳
踸,趻
蹋,躢
