韻,異体字,韵
碑,旧字,碑
関,旧字,關
壊,旧字,壞
撃,旧字,擊
祥,旧字,祥
糸,旧字,絲
檗,異体字,蘗
苺,異体字,莓
号,旧字,號
浅,旧字,淺
読,旧字,讀
節,旧字,節
聟,旧字,壻
黒,旧字,黑
昼,旧字,晝
挙,旧字,擧
滞,旧字,滯
賛,旧字,贊
挟,旧字,挾
塡,異体字,填
檜,異体字,桧
壌,旧字,壤
冤,異体字,寃
酔,旧字,醉
廊,旧字,廊
響,旧字,響
嘆,旧字,嘆
盪,異体字,蘯
艶,旧字,艷
蠹,異体字,蠧
彝,異体字,彜
雁,異体字,鴈
廏,異体字,廐
隆,旧字,隆
戻,旧字,戾
函,異体字,凾
担,旧字,擔
輒,異体字,輙
勅,旧字,敕
欄,旧字,欄
遡,異体字,溯
匝,異体字,帀
鬪,異体字,鬭
体,旧字,體
塩,旧字,鹽
覧,旧字,覽
条,旧字,條
聡,旧字,聰
秕,異体字,粃
稽,異体字,𥡴
皐,異体字,皋
廐,異体字,廏
浜,旧字,濱
攪,異体字,撹
霊,旧字,靈
両,旧字,兩
対,旧字,對
灌,異体字,潅
寿,旧字,壽
遥,旧字,遙
楕,異体字,橢
突,旧字,突
勉,旧字,勉
秘,旧字,祕
練,旧字,練
窃,旧字,竊
擡,異体字,抬
碗,異体字,盌
巻,旧字,卷
黙,旧字,默
焼,旧字,燒
萌,異体字,萠
並,旧字,竝
暦,旧字,曆
青,旧字,靑
曽,旧字,曾
余,旧字,餘
豊,旧字,豐
譲,旧字,讓
揺,旧字,搖
剰,旧字,剩
惨,旧字,慘
猟,旧字,獵
専,旧字,專
胆,旧字,膽
寇,異体字,冦
罐,異体字,鑵
膣,異体字,腟
鶏,旧字,鷄
画,旧字,畫
属,旧字,屬
繁,旧字,繁
来,旧字,來
聯,異体字,聨
翻,異体字,飜
痩,旧字,瘦
靖,旧字,靖
団,旧字,團
螂,異体字,蜋
蟹,異体字,蠏
温,旧字,溫
厨,異体字,廚
静,旧字,靜
疇,異体字,畴
弐,旧字,貳
免,旧字,免
蛍,旧字,螢
殲,異体字,殱
喝,旧字,喝
兎,異体字,兔
錬,旧字,鍊
茎,旧字,莖
諸,旧字,諸
児,旧字,兒
縁,旧字,緣
犂,異体字,犁
鑵,旧字,罐
悔,旧字,悔
躪,異体字,躙
髪,旧字,髮
濾,異体字,沪
厩,異体字,廏
厩,異体字,廐
囲,旧字,圍
竜,旧字,龍
籠,異体字,篭
潜,旧字,潛
